revenu_mensuel,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,age_rh,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,tranche_distance_domicile_travail
7.794411205726601,Consulting,Consultant,0,6,5,4,35-44,1,4,1,2,3,3,3,Non,13 %,0,1,5,3,Transformation Digitale,Occasionnel,0,3,15-19 km
8.341410211461865,Consulting,Consultant,0,10,9,5,25-34,4,2,2,3,4,3,3,Oui,12 %,0,0,3,2,Infra & Cloud,Occasionnel,0,8,15-19 km
7.976595409316577,Consulting,Assistant de Direction,1,5,5,2,25-34,1,3,1,3,4,2,3,Non,17 %,0,1,1,1,Infra & Cloud,Occasionnel,4,3,20-29 km
7.8868329989550565,Consulting,Consultant,0,3,2,2,25-34,2,3,1,4,3,3,3,Non,11 %,0,1,2,2,Transformation Digitale,Occasionnel,1,2,15-19 km
7.615298339825815,Consulting,Consultant,5,6,4,2,25-34,3,2,1,3,2,3,3,Oui,14 %,1,0,4,3,Infra & Cloud,Occasionnel,0,3,20-29 km
9.208438564686587,Consulting,Tech Lead,1,10,10,9,25-34,2,4,3,1,3,3,3,Non,11 %,0,1,1,4,Infra & Cloud,Occasionnel,8,8,20-29 km
8.101374671228582,Consulting,Assistant de Direction,0,7,6,2,25-34,1,4,1,2,4,2,3,Oui,12 %,0,2,5,2,Infra & Cloud,Occasionnel,0,5,5-9 km
7.984803389734406,Consulting,Consultant,1,1,1,0,18-24,4,4,1,4,2,2,3,Oui,13 %,0,2,2,2,Transformation Digitale,Aucun,0,0,15-19 km
9.643939319328119,Commercial,Senior Manager,2,31,25,8,45-59,1,2,4,4,3,3,3,Non,16 %,0,0,3,4,Infra & Cloud,Occasionnel,3,7,0-4 km
8.280204233279974,Consulting,Assistant de Direction,5,6,3,2,35-44,4,3,1,4,3,3,3,Oui,11 %,0,0,3,3,Infra & Cloud,Occasionnel,1,2,0-4 km
8.297045149081827,Consulting,Tech Lead,0,5,4,2,18-24,1,4,2,3,4,2,3,Non,18 %,0,1,5,2,Autre,Aucun,1,3,10-14 km
8.133880887949207,Commercial,Représentant Commercial,7,10,5,3,35-44,3,2,1,1,2,3,4,Non,23 %,1,0,4,4,Infra & Cloud,Occasionnel,0,3,5-9 km
9.392245175273795,Consulting,Directeur Technique,0,13,12,6,25-34,1,3,3,2,3,3,3,Non,11 %,0,0,4,4,Infra & Cloud,Occasionnel,2,11,5-9 km
7.117205503164344,Consulting,Assistant de Direction,1,0,0,0,18-24,3,3,1,4,4,3,3,Non,14 %,0,0,6,2,Infra & Cloud,Occasionnel,0,0,15-19 km
7.993282328101591,Consulting,Assistant de Direction,2,8,4,2,25-34,2,3,1,1,3,3,3,Non,11 %,1,0,2,1,Transformation Digitale,Occasionnel,1,3,5-9 km
9.857181799659617,Consulting,Senior Manager,4,26,14,13,45-59,3,3,5,3,4,2,3,Non,11 %,0,1,3,3,Autre,Occasionnel,4,8,5-9 km
8.273846932784508,Consulting,Assistant de Direction,1,10,10,2,25-34,2,1,1,1,2,3,4,Oui,22 %,1,0,5,1,Infra & Cloud,Frequent,6,7,15-19 km
8.828494129466652,Commercial,Cadre Commercial,0,10,9,7,35-44,3,3,2,2,4,3,3,Non,11 %,0,1,2,4,Marketing,Occasionnel,4,2,5-9 km
9.234935418831563,Consulting,Manager,3,24,22,6,35-44,1,2,3,4,4,3,3,Non,14 %,0,1,4,4,Transformation Digitale,Occasionnel,5,17,5-9 km
9.849453664043642,Commercial,Senior Manager,3,22,2,2,45-59,2,3,5,1,4,2,3,Non,12 %,0,0,2,4,Marketing,Occasionnel,2,1,0-4 km
7.822845290279774,Consulting,Consultant,4,7,1,1,25-34,3,3,1,4,4,3,3,Non,11 %,0,0,3,3,Transformation Digitale,Occasionnel,0,0,0-4 km
8.774312958285378,Consulting,Manager,2,9,4,2,35-44,4,3,2,4,4,4,3,Oui,13 %,0,0,5,4,Autre,Occasionnel,1,3,10-14 km
7.699389406256737,Consulting,Consultant,1,10,10,0,25-34,4,2,1,3,1,3,3,Non,13 %,0,0,5,2,Transformation Digitale,Occasionnel,1,8,5-9 km
7.643482907077201,Commercial,Représentant Commercial,3,19,1,0,35-44,4,3,2,4,3,4,3,Non,14 %,1,1,6,3,Entrepreunariat,Occasionnel,0,0,5-9 km
7.738052297689316,Consulting,Assistant de Direction,2,6,2,0,18-24,2,3,1,4,1,2,3,Oui,16 %,1,1,2,3,Transformation Digitale,Occasionnel,2,0,0-4 km
7.880804344674901,Consulting,Assistant de Direction,1,6,5,3,35-44,4,4,1,3,4,2,3,Non,12 %,0,2,3,2,Transformation Digitale,Occasionnel,1,4,0-4 km
7.895063498091573,Commercial,Représentant Commercial,1,3,3,2,45-59,1,2,1,3,3,3,3,Oui,14 %,1,0,2,2,Marketing,Occasionnel,0,2,0-4 km
7.608374474380783,Commercial,Représentant Commercial,1,2,2,2,35-44,4,3,1,4,1,3,3,Non,13 %,0,0,3,3,Marketing,Occasionnel,2,2,0-4 km
8.13739583005665,Consulting,Assistant de Direction,9,6,1,1,35-44,2,2,1,1,4,4,3,Oui,14 %,0,1,3,4,Infra & Cloud,Occasionnel,0,0,5-9 km
8.589885876809678,Commercial,Cadre Commercial,2,10,5,3,25-34,3,4,2,1,1,3,3,Non,19 %,0,2,3,3,Infra & Cloud,Frequent,1,3,0-4 km
7.5766097669730375,Consulting,Consultant,1,1,1,0,35-44,3,3,1,4,3,3,3,Non,12 %,0,1,3,2,Autre,Occasionnel,0,0,0-4 km
7.758760544157663,Consulting,Consultant,1,1,1,0,25-34,4,3,1,1,4,3,3,Non,13 %,0,1,6,4,Infra & Cloud,Occasionnel,0,0,0-4 km
7.738052297689316,Consulting,Consultant,1,1,1,0,25-34,1,1,1,3,3,2,3,Non,12 %,1,0,2,3,Infra & Cloud,Occasionnel,0,1,20-29 km
9.074176947163311,Commercial,Cadre Commercial,1,9,9,8,25-34,4,3,3,3,4,3,3,Non,15 %,0,0,0,3,Infra & Cloud,Frequent,1,7,5-9 km
8.297045149081827,Consulting,Consultant,1,12,12,8,25-34,3,3,2,4,4,3,4,Non,23 %,0,0,2,2,Transformation Digitale,Frequent,3,7,0-4 km
9.880525940898782,Consulting,Directeur Technique,1,23,22,15,35-44,2,3,5,3,4,3,3,Non,12 %,1,0,0,3,Entrepreunariat,Occasionnel,15,8,10-14 km
8.427049641563272,Commercial,Cadre Commercial,0,10,9,5,25-34,2,3,2,3,3,3,4,Non,20 %,0,0,2,4,Marketing,Aucun,8,7,20-29 km
8.014004994779459,Consulting,Assistant de Direction,4,8,1,0,35-44,2,3,1,2,1,3,4,Non,21 %,0,0,1,2,Infra & Cloud,Occasionnel,0,0,15-19 km
8.660947155060933,Commercial,Cadre Commercial,4,14,9,6,45-59,1,3,2,4,3,3,4,Oui,21 %,0,0,4,4,Marketing,Frequent,0,8,5-9 km
7.727535110475448,Consulting,Consultant,1,1,1,0,35-44,4,4,1,4,4,3,3,Non,19 %,0,0,2,1,Infra & Cloud,Occasionnel,0,1,5-9 km
8.590815331286851,Consulting,Consultant,9,23,1,0,45-59,1,2,3,3,4,3,3,Oui,13 %,1,0,2,2,Infra & Cloud,Occasionnel,0,0,0-4 km
8.143807976771484,Consulting,Consultant,1,2,2,2,25-34,3,3,1,3,3,2,3,Oui,13 %,1,0,3,4,Entrepreunariat,Occasionnel,2,2,5-9 km
8.604287898267172,Commercial,Cadre Commercial,5,9,4,3,35-44,2,3,2,1,3,2,4,Oui,21 %,0,1,2,5,Marketing,Occasionnel,1,3,0-4 km
9.198773735604718,Consulting,Manager,2,10,4,0,35-44,3,2,3,1,3,3,3,Oui,13 %,0,1,3,2,Transformation Digitale,Aucun,2,3,10-14 km
8.332789468417959,Commercial,Cadre Commercial,7,5,2,2,25-34,3,2,2,4,3,2,3,Oui,19 %,0,1,2,3,Marketing,Occasionnel,0,0,20-29 km
9.507403306233716,Consulting,Directeur Technique,1,15,15,14,25-34,1,3,3,4,3,3,3,Oui,12 %,0,0,1,2,Infra & Cloud,Frequent,8,12,0-4 km
9.112727543109182,Commercial,Cadre Commercial,1,9,9,8,35-44,2,3,3,1,4,2,4,Non,22 %,0,1,3,5,Infra & Cloud,Frequent,1,8,15-19 km
8.297792626380861,Consulting,Consultant,3,4,2,2,35-44,3,3,1,1,3,3,3,Oui,15 %,0,1,3,4,Transformation Digitale,Occasionnel,2,2,20-29 km
8.68541582383069,Consulting,Consultant,3,10,7,7,25-34,4,3,2,4,4,2,4,Non,22 %,0,1,3,4,Infra & Cloud,Occasionnel,1,7,5-9 km
8.69851424787661,Consulting,Tech Lead,1,7,7,5,35-44,1,2,2,3,3,4,3,Non,18 %,0,1,2,4,Infra & Cloud,Occasionnel,0,7,0-4 km
8.726318950962243,Consulting,Tech Lead,1,9,9,8,25-34,1,3,2,4,2,3,4,Oui,22 %,0,1,3,3,Transformation Digitale,Occasionnel,7,8,0-4 km
7.786136437783072,Consulting,Consultant,1,10,10,3,35-44,4,3,2,4,4,3,3,Non,11 %,0,0,2,5,Infra & Cloud,Frequent,9,9,20-29 km
9.838468916161679,Consulting,Directeur Technique,5,29,27,3,45-59,2,2,5,3,4,2,3,Oui,12 %,0,1,2,2,Transformation Digitale,Occasionnel,13,8,5-9 km
8.940891067785461,Commercial,Cadre Commercial,7,28,21,16,45-59,1,3,3,1,4,2,3,Non,11 %,0,0,3,3,Infra & Cloud,Occasionnel,7,9,20-29 km
9.219993629004321,Consulting,Manager,1,17,17,14,35-44,3,3,3,3,2,3,3,Non,13 %,0,3,2,3,Entrepreunariat,Occasionnel,12,8,5-9 km
9.59947282546345,Consulting,Senior Manager,2,21,5,0,45-59,4,3,4,3,3,3,3,Oui,14 %,0,3,2,3,Transformation Digitale,Occasionnel,0,2,5-9 km
8.779557455883728,Consulting,Tech Lead,1,6,6,5,35-44,2,2,2,2,3,3,3,Non,13 %,0,0,3,3,Infra & Cloud,Frequent,0,3,10-14 km
9.182455168486648,Consulting,Assistant de Direction,2,25,1,0,45-59,2,3,3,1,3,3,3,Non,17 %,0,1,2,3,Infra & Cloud,Occasionnel,0,0,5-9 km
7.693937325509272,Consulting,Assistant de Direction,4,5,3,2,35-44,2,3,1,1,4,2,3,Non,13 %,0,1,2,3,Transformation Digitale,Frequent,1,2,0-4 km
8.128290171607052,Consulting,Assistant de Direction,0,2,1,0,35-44,4,2,1,3,1,2,3,Oui,17 %,1,1,0,3,Transformation Digitale,Occasionnel,0,0,5-9 km
8.607764889600624,Commercial,Cadre Commercial,7,20,4,3,45-59,1,2,2,3,4,2,3,Non,11 %,0,0,2,1,Infra & Cloud,Frequent,1,3,0-4 km
7.902487437162855,Consulting,Assistant de Direction,0,6,5,4,25-34,3,3,1,2,4,3,4,Non,23 %,0,1,3,3,Infra & Cloud,Occasionnel,0,4,0-4 km
7.824845691026856,Consulting,Assistant de Direction,1,1,1,1,25-34,3,3,1,2,2,3,3,Non,17 %,0,0,4,4,Transformation Digitale,Occasionnel,1,0,0-4 km
8.73568594451502,Consulting,Assistant de Direction,1,10,10,4,25-34,2,3,2,2,2,3,3,Non,17 %,0,2,3,3,Infra & Cloud,Occasionnel,0,9,0-4 km
8.019283792916793,Consulting,Consultant,3,5,1,0,35-44,2,4,1,4,2,3,3,Non,12 %,0,0,3,3,Infra & Cloud,Occasionnel,0,0,5-9 km
8.39502555744203,Consulting,Tech Lead,1,11,11,7,25-34,3,3,2,4,4,3,4,Non,23 %,0,0,2,4,Infra & Cloud,Occasionnel,1,8,5-9 km
8.369388996647842,Commercial,Cadre Commercial,0,16,15,13,35-44,3,2,2,1,2,3,3,Non,14 %,0,0,2,4,Marketing,Occasionnel,2,8,0-4 km
9.491450899044924,Consulting,Directeur Technique,4,17,0,0,45-59,4,3,3,1,2,4,3,Oui,14 %,0,0,3,4,Autre,Occasionnel,0,0,5-9 km
9.522593098362169,Consulting,Directeur Technique,4,16,5,2,35-44,1,3,3,3,1,4,3,Non,13 %,0,0,3,4,Transformation Digitale,Occasionnel,0,2,5-9 km
8.52158353971753,Ressources Humaines,Ressources Humaines,8,16,4,2,45-59,2,3,2,2,4,3,4,Oui,22 %,0,1,2,2,Transformation Digitale,Occasionnel,0,2,5-9 km
8.5422759717837,Consulting,Consultant,1,10,10,8,25-34,4,2,2,4,3,2,3,Oui,12 %,0,2,1,1,Infra & Cloud,Occasionnel,3,0,0-4 km
7.958576903813898,Consulting,Assistant de Direction,1,6,6,4,35-44,2,2,1,3,1,3,3,Non,18 %,0,0,3,3,Transformation Digitale,Occasionnel,0,4,0-4 km
9.234056898593499,Commercial,Cadre Commercial,3,24,1,0,45-59,1,3,3,4,4,3,3,Non,14 %,0,1,4,2,Infra & Cloud,Occasionnel,1,0,0-4 km
8.58110651715989,Consulting,Assistant de Direction,7,17,13,11,35-44,2,1,2,4,4,3,3,Oui,12 %,0,3,3,3,Transformation Digitale,Aucun,1,9,5-9 km
8.372398606513004,Consulting,Tech Lead,1,5,5,2,25-34,1,3,2,2,3,3,3,Non,15 %,0,0,2,2,Transformation Digitale,Occasionnel,1,3,0-4 km
8.890272839380247,Consulting,Tech Lead,4,37,6,4,45-59,4,1,3,4,1,2,3,Non,11 %,0,0,3,3,Infra & Cloud,Occasionnel,0,2,5-9 km
7.750614732770409,Commercial,Représentant Commercial,3,3,0,0,18-24,3,3,1,1,3,3,3,Non,13 %,0,1,3,1,Entrepreunariat,Occasionnel,0,0,0-4 km
7.638198244285779,Consulting,Consultant,3,10,4,2,45-59,4,3,1,4,2,3,4,Non,23 %,0,2,4,4,Infra & Cloud,Occasionnel,0,3,5-9 km
8.331586243630754,Consulting,Manager,1,11,11,10,25-34,3,2,2,4,1,3,3,Non,19 %,0,3,3,3,Infra & Cloud,Occasionnel,10,8,0-4 km
9.171599543659752,Commercial,Cadre Commercial,1,9,9,8,45-59,3,2,3,4,4,3,3,Non,16 %,1,0,3,2,Transformation Digitale,Occasionnel,4,7,5-9 km
9.510741216835738,Consulting,Manager,1,22,22,3,35-44,3,2,4,2,4,2,4,Non,22 %,0,1,3,4,Infra & Cloud,Frequent,11,11,0-4 km
8.601901919343192,Commercial,Cadre Commercial,0,11,10,7,45-59,3,3,2,4,4,1,4,Oui,22 %,0,0,2,4,Marketing,Occasionnel,1,0,20-29 km
8.558335134747413,Commercial,Cadre Commercial,1,11,11,8,25-34,3,2,2,2,2,2,3,Oui,12 %,0,3,4,2,Transformation Digitale,Occasionnel,2,7,0-4 km
9.27556615689389,Consulting,Manager,2,21,10,9,45-59,3,2,3,1,3,2,3,Oui,13 %,0,1,5,3,Transformation Digitale,Frequent,9,5,0-4 km
8.519390774959724,Commercial,Cadre Commercial,1,12,11,8,25-34,2,3,2,3,1,3,3,Non,16 %,0,0,0,4,Transformation Digitale,Occasionnel,5,7,5-9 km
9.514141826307847,Consulting,Directeur Technique,9,16,4,3,45-59,1,3,3,3,1,1,3,Non,12 %,0,1,5,4,Entrepreunariat,Occasionnel,0,3,0-4 km
8.517193191416238,Commercial,Cadre Commercial,0,4,3,2,18-24,1,3,2,3,1,2,4,Non,21 %,0,1,2,2,Autre,Occasionnel,0,2,0-4 km
8.348064228408266,Commercial,Cadre Commercial,1,5,5,4,25-34,2,3,2,3,2,4,3,Non,15 %,0,0,3,3,Transformation Digitale,Aucun,0,4,0-4 km
9.537699784080726,Commercial,Cadre Commercial,0,38,37,10,45-59,4,3,4,3,3,2,3,Non,13 %,0,0,1,4,Transformation Digitale,Occasionnel,1,8,10-14 km
7.622174594817622,Consulting,Consultant,4,17,3,2,35-44,2,3,2,2,3,4,3,Non,12 %,0,1,3,3,Transformation Digitale,Aucun,1,2,20-29 km
7.637234388789473,Ressources Humaines,Ressources Humaines,4,7,3,2,35-44,3,3,1,1,4,3,4,Oui,22 %,1,0,3,4,Ressources Humaines,Occasionnel,0,2,5-9 km
7.9919305198524775,Consulting,Assistant de Direction,1,1,1,0,25-34,4,3,1,1,4,3,3,Non,13 %,0,0,2,1,Infra & Cloud,Occasionnel,0,0,0-4 km
7.9817332866918855,Consulting,Consultant,1,1,1,0,18-24,4,2,1,4,2,3,3,Oui,18 %,1,0,5,3,Infra & Cloud,Frequent,1,0,5-9 km
8.478452363099807,Consulting,Assistant de Direction,1,16,16,13,25-34,1,3,2,3,3,3,3,Non,14 %,0,0,3,4,Autre,Occasionnel,2,10,5-9 km
8.549466751966532,Consulting,Manager,5,17,1,0,35-44,3,2,2,4,4,4,3,Non,14 %,0,1,2,2,Infra & Cloud,Aucun,0,0,0-4 km
9.844002905701236,Ressources Humaines,Senior Manager,9,30,3,2,45-59,3,2,5,4,4,3,4,Non,21 %,0,1,3,4,Ressources Humaines,Aucun,2,2,0-4 km
9.807692255081262,Consulting,Directeur Technique,3,28,8,3,45-59,1,3,5,2,1,2,3,Oui,19 %,0,0,1,3,Infra & Cloud,Frequent,0,7,0-4 km
8.656085190282855,Commercial,Cadre Commercial,1,6,6,4,25-34,3,2,2,3,4,3,3,Oui,11 %,1,0,1,3,Marketing,Occasionnel,0,3,5-9 km
7.969011781106478,Consulting,Assistant de Direction,1,2,2,2,25-34,4,2,1,4,3,3,3,Non,11 %,0,2,2,1,Transformation Digitale,Occasionnel,2,1,5-9 km
7.962763930168115,Consulting,Consultant,1,1,0,0,18-24,2,3,1,4,3,3,3,Non,15 %,0,0,5,3,Transformation Digitale,Occasionnel,0,0,15-19 km
8.920656296853728,Consulting,Manager,3,23,13,12,45-59,1,2,3,1,3,2,4,Non,20 %,0,0,1,4,Transformation Digitale,Frequent,12,8,0-4 km
8.711937268208748,Consulting,Consultant,1,9,9,7,25-34,1,1,2,3,4,3,4,Oui,24 %,1,0,3,3,Infra & Cloud,Frequent,0,6,5-9 km
9.760136677640245,Ressources Humaines,Senior Manager,2,23,5,3,45-59,4,4,4,4,3,3,3,Oui,12 %,0,0,3,3,Ressources Humaines,Aucun,4,4,20-29 km
7.928406026180535,Consulting,Consultant,0,6,5,3,18-24,2,3,1,3,3,3,3,Non,12 %,0,1,2,1,Infra & Cloud,Occasionnel,1,2,15-19 km
8.41316512099219,Consulting,Assistant de Direction,6,12,1,0,25-34,3,2,2,2,3,3,3,Non,15 %,0,1,3,4,Infra & Cloud,Occasionnel,0,0,5-9 km
8.913146539151807,Commercial,Cadre Commercial,2,12,5,3,35-44,3,3,3,4,1,3,3,Non,12 %,0,0,3,3,Infra & Cloud,Occasionnel,1,3,0-4 km
9.3615151997733,Consulting,Senior Manager,2,14,11,10,25-34,3,2,3,1,4,3,3,Non,12 %,0,0,6,3,Transformation Digitale,Occasionnel,5,8,5-9 km
9.1838937219612,Commercial,Cadre Commercial,0,10,9,7,35-44,2,3,3,4,3,3,3,Non,14 %,0,1,6,2,Entrepreunariat,Frequent,2,8,10-14 km
7.950149887652018,Consulting,Consultant,5,7,1,0,35-44,1,3,1,4,1,3,4,Non,22 %,0,1,2,2,Infra & Cloud,Occasionnel,0,0,0-4 km
9.738612909345894,Commercial,Senior Manager,1,25,25,12,35-44,3,3,4,4,4,4,3,Oui,12 %,0,2,3,2,Infra & Cloud,Frequent,4,12,20-29 km
7.868636894184167,Consulting,Assistant de Direction,1,10,10,7,25-34,1,1,1,3,3,2,4,Non,25 %,0,3,2,3,Infra & Cloud,Frequent,0,9,20-29 km
8.72371943690701,Commercial,Cadre Commercial,0,8,7,7,25-34,3,3,2,2,1,4,3,Non,13 %,0,1,2,2,Marketing,Aucun,0,7,20-29 km
8.509967146324497,Consulting,Assistant de Direction,9,7,5,4,45-59,2,3,1,2,1,3,3,Oui,18 %,1,3,2,4,Infra & Cloud,Occasionnel,4,3,10-14 km
9.880116566212887,Consulting,Directeur Technique,7,23,20,18,45-59,1,3,5,3,3,3,3,Non,13 %,0,0,5,3,Infra & Cloud,Occasionnel,15,15,5-9 km
8.727940222393896,Commercial,Cadre Commercial,4,12,7,7,25-34,2,1,2,3,2,2,3,Oui,18 %,1,0,3,4,Infra & Cloud,Occasionnel,7,7,5-9 km
7.7702232041587855,Consulting,Assistant de Direction,1,5,5,4,25-34,3,2,1,2,3,2,3,Non,19 %,0,0,3,3,Autre,Occasionnel,4,3,5-9 km
9.24116051431607,Consulting,Manager,1,40,40,10,45-59,4,3,3,4,4,2,3,Non,12 %,1,1,3,4,Transformation Digitale,Occasionnel,15,6,20-29 km
7.424165281042028,Commercial,Représentant Commercial,1,0,0,0,18-24,4,3,1,3,4,2,3,Oui,19 %,1,0,2,1,Marketing,Occasionnel,0,0,20-29 km
7.8336002236611035,Consulting,Consultant,0,3,2,1,18-24,3,3,1,4,3,3,3,Non,14 %,0,1,2,1,Entrepreunariat,Occasionnel,2,1,0-4 km
8.789964651132264,Consulting,Tech Lead,1,16,15,11,45-59,3,3,2,1,3,2,3,Non,14 %,0,0,2,4,Transformation Digitale,Occasionnel,5,11,20-29 km
8.463792414689122,Consulting,Assistant de Direction,4,18,3,2,35-44,2,4,1,3,4,3,3,Non,12 %,0,0,2,3,Transformation Digitale,Frequent,1,2,20-29 km
9.127936545721367,Commercial,Cadre Commercial,4,16,2,2,45-59,3,3,3,4,4,3,3,Non,11 %,0,0,3,3,Marketing,Frequent,2,1,10-14 km
8.425077902508432,Commercial,Cadre Commercial,3,4,2,2,25-34,2,1,2,3,3,3,3,Oui,11 %,1,1,2,3,Infra & Cloud,Occasionnel,2,2,20-29 km
9.010669176847115,Commercial,Cadre Commercial,3,12,9,7,35-44,3,3,3,3,3,3,3,Oui,13 %,0,1,2,1,Infra & Cloud,Occasionnel,0,7,5-9 km
7.987184748233473,Ressources Humaines,Ressources Humaines,1,8,8,7,25-34,3,3,1,3,4,3,4,Non,23 %,0,1,3,1,Infra & Cloud,Occasionnel,5,7,20-29 km
8.505525386548555,Consulting,Tech Lead,6,7,3,2,35-44,2,3,2,2,4,3,4,Non,20 %,0,2,0,2,Transformation Digitale,Occasionnel,0,1,5-9 km
9.273409063443166,Consulting,Tech Lead,2,18,4,2,45-59,1,1,3,4,4,3,3,Non,15 %,1,0,2,4,Infra & Cloud,Frequent,0,3,5-9 km
8.683215975240689,Commercial,Cadre Commercial,4,17,15,11,35-44,4,2,2,3,3,4,3,Non,14 %,0,1,1,4,Infra & Cloud,Occasionnel,5,9,0-4 km
9.064157861798101,Commercial,Cadre Commercial,2,6,2,2,25-34,1,2,2,3,4,3,3,Non,18 %,0,0,3,3,Infra & Cloud,Occasionnel,2,2,20-29 km
8.7558950816463,Ressources Humaines,Ressources Humaines,0,12,11,9,25-34,3,3,2,4,4,1,3,Oui,19 %,0,0,2,3,Ressources Humaines,Occasionnel,4,7,5-9 km
8.343077871169383,Consulting,Consultant,7,10,5,4,25-34,1,3,1,1,1,4,4,Non,22 %,1,0,2,3,Transformation Digitale,Occasionnel,0,4,5-9 km
8.146998697389993,Consulting,Assistant de Direction,5,9,6,5,45-59,3,3,1,4,2,2,3,Non,13 %,0,0,2,3,Transformation Digitale,Occasionnel,0,3,20-29 km
8.370547611074752,Consulting,Assistant de Direction,3,19,3,2,35-44,4,3,2,3,2,3,4,Oui,20 %,0,0,2,5,Entrepreunariat,Occasionnel,2,2,0-4 km
7.87587915949631,Consulting,Assistant de Direction,1,5,5,4,25-34,1,3,1,3,3,2,3,Non,14 %,0,0,4,3,Infra & Cloud,Occasionnel,0,4,15-19 km
8.448700194970938,Commercial,Cadre Commercial,0,9,8,7,25-34,4,1,2,4,4,4,3,Non,17 %,0,3,2,2,Transformation Digitale,Frequent,0,7,5-9 km
8.07246736935477,Consulting,Assistant de Direction,5,8,3,2,25-34,4,3,1,1,4,3,3,Non,14 %,0,1,3,3,Entrepreunariat,Occasionnel,2,2,5-9 km
7.908754738783246,Consulting,Consultant,0,6,5,3,25-34,2,2,1,4,4,3,3,Non,13 %,0,0,3,1,Transformation Digitale,Occasionnel,1,2,0-4 km
9.751617603198001,Consulting,Senior Manager,4,21,7,6,35-44,4,2,4,1,2,2,3,Non,13 %,0,1,2,3,Infra & Cloud,Frequent,7,7,10-14 km
7.713784616598755,Consulting,Consultant,2,7,5,0,35-44,3,3,1,1,4,3,4,Non,21 %,0,1,2,4,Infra & Cloud,Occasionnel,1,4,5-9 km
7.302496423727326,Consulting,Consultant,1,1,1,0,18-24,2,3,1,2,4,3,3,Non,14 %,0,0,3,1,Transformation Digitale,Occasionnel,0,0,0-4 km
8.631592731724734,Consulting,Assistant de Direction,1,20,20,7,35-44,2,3,2,2,1,3,3,Non,11 %,0,1,2,3,Transformation Digitale,Frequent,2,13,20-29 km
8.895081531754167,Commercial,Cadre Commercial,1,10,10,8,35-44,3,3,3,2,1,3,3,Non,13 %,0,2,3,5,Marketing,Occasionnel,0,6,0-4 km
7.7437032581737535,Commercial,Représentant Commercial,2,13,7,7,45-59,2,3,2,3,4,1,4,Oui,20 %,0,1,3,2,Marketing,Occasionnel,4,5,5-9 km
7.761744984658913,Consulting,Consultant,8,20,17,9,45-59,2,3,2,2,3,1,3,Non,18 %,0,1,2,3,Infra & Cloud,Occasionnel,0,15,5-9 km
9.104868739033948,Commercial,Cadre Commercial,1,9,9,8,25-34,2,3,3,4,4,3,3,Non,14 %,0,0,2,3,Marketing,Frequent,3,7,5-9 km
